periodo,privado,publico,politico,economista
1,"0,427504043914182","0,110984183787408","0,460625531139771","0,000886241158639"
2,"0,835243074210709","0,107090202107625","0,057666723717584",0
3,"0,64997515295372","0,195383429459009","0,121434836009973","0,033206581433816"
4,"0,348232623591401","0,232038903427535",0,"0,419728472954902"
5,"0,092829371250465","0,323443152130132","0,13971483701701","0,44401263957598"
